"filename","spk","male","class","ldur","vdur","dur","f0_s1","f0_s2","F12_s1","F12_s2"
"emilianaAM1","AM",FALSE,"d",63,172,235,5.24782564498508,2.30857482152102,4.25828287433385,-2.11499345161255
"emilianaAM2","AM",FALSE,"d",78,98,176,-7.40755121551717,-7.88934588631869,-2.65556262768438,0.56285288547163
"emilianaAM3","AM",FALSE,"d",69,133,202,-3.19992639067832,-4.83419281579868,2.78468793356814,-0.20243206854921
"emilianaAM4","AM",FALSE,"d",72,137,209,-5.38223978450811,-4.10559042850495,-1.59866508683436,-2.03197734942879
"emilianaAM5","AM",FALSE,"d",78,126,204,-7.53999897280428,-7.86057066182784,-2.36786490614695,-0.931496608870347
"emilianabAM1","AM",FALSE,"d",71,119,190,-6.41047507876869,-3.4681901496406,-0.540056154239679,0.177438881728058
"emilianabAM2","AM",FALSE,"d",64,133,197,-5.01549854535422,-5.07423837922789,-2.16732236285023,-1.43427562185178
"emilianabAM3","AM",FALSE,"d",76,146,222,1.40740053325586,0.409721858098026,0.0990591314948018,-2.18557898259047
"emilianabAM4","AM",FALSE,"d",76,142,218,-5.13149934352052,-4.73290766002657,-0.0588254744761172,-1.21957358410797
"emilianabAM5","AM",FALSE,"d",66,131,197,-8.79792680078942,-4.60234902549621,1.29242210989211,-0.459894581989717
"emilianabCP1","CP",FALSE,"d",68,146,214,-4.42856097004768,0.839368215377341,1.21022469459801,-0.752407903733117
"emilianabCP2","CP",FALSE,"d",68,117,185,-5.06680546584426,-6.63656723570618,-4.45280841245359,-1.01519651802795
"emilianabCP3","CP",FALSE,"d",68,132,200,-4.07922097792287,-4.22920378450311,-4.23097937993062,-1.57580639686486
"emilianabCP4","CP",FALSE,"d",63,120,183,-9.48145048218961,-5.55661711774866,-3.32506723131965,-0.540469208986544
"emilianabCP5","CP",FALSE,"d",47,122,169,-9.93413381843657,3.02168472599117,-4.07510486814799,-0.304842852554853
"emilianabMC1","MC",TRUE,"d",52,130,182,11.6206734357487,-2.43003324881464,-0.119514313892639,2.42873649009957
"emilianabMC2","MC",TRUE,"d",63,140,203,13.4280248340861,-0.98412143783039,2.62010883188237,-0.110978999105728
"emilianabMC3","MC",TRUE,"d",62,116,178,8.13210213033457,-2.59953822417742,-1.16809890642621,2.35792430964653
"emilianabMC4","MC",TRUE,"d",53,119,172,4.17378648270625,-0.221702936486323,-2.18912705263795,2.58447661512043
"emilianabMC5","MC",TRUE,"d",53,118,171,1.82608352373627,-2.13037771149961,-2.13325794241295,2.26342539661752
"emilianabMM1","MM",FALSE,"d",71,137,208,16.5544269713264,-15.2897187373078,-3.9262539628612,1.42713896476524
"emilianabMM2","MM",FALSE,"d",68,98,166,13.461082917082,-9.7529473731337,-3.90915500066705,-1.26492177320595
"emilianabMM3","MM",FALSE,"d",71,117,188,13.4381013722275,-14.1956023996796,-4.68814224971971,0.027600443009119
"emilianabMM4","MM",FALSE,"d",72,89,161,5.44888678476376,-18.1230322528075,-9.59180962886375,0.808109306519472
"emilianabMM5","MM",FALSE,"d",61,99,160,14.0196243826676,-15.5842165928945,-7.27445965062955,3.19795891636829
"emilianabMS1","MS",TRUE,"d",77,180,257,21.9024252230496,1.79047789338392,2.33376442298153,-1.09490732387663
"emilianabMS2","MS",TRUE,"d",66,152,218,17.7090185803678,-2.82742747107098,0.530330547256037,-1.98933908496269
"emilianabMS3","MS",TRUE,"d",60,136,196,9.71403066172303,0.879462262827575,0.535306767354228,1.36116985126179
"emilianabMS4","MS",TRUE,"d",55,153,208,12.8685136194276,5.12151793423856,1.75372540491208,0.832252859505351
"emilianabMS5","MS",TRUE,"d",79,143,222,23.1123341000171,-3.79396489336611,0.551133416818408,0.401725423793003
"emilianaCP1","CP",FALSE,"d",77,135,212,7.9184392232656,4.36174419850913,-3.04857342447143,-1.01409715304601
"emilianaCP2","CP",FALSE,"d",64,125,189,-3.67485655209987,-3.12280018387301,-3.97751207257815,-1.69747195416271
"emilianaCP3","CP",FALSE,"d",64,127,191,-6.12430283058985,-3.46850655463103,-2.73818020329252,-1.35013774494058
"emilianaCP4","CP",FALSE,"d",57,101,158,-3.86117574012705,-2.04473380223207,-5.04237439887051,0.362786306576393
"emilianaCP5","CP",FALSE,"d",64,122,186,-4.29052709427349,-0.0819896682160168,-4.50408978490714,-1.32454079687674
"emilianaMC1","MC",TRUE,"d",69,119,188,11.0782061360783,-6.50829509965964,-1.71456791933327,2.47356409485145
"emilianaMC2","MC",TRUE,"d",55,131,186,2.74754614994971,-5.49766867568072,0.428954037623871,2.31068995054817
"emilianaMC3","MC",TRUE,"d",71,113,184,-0.373462106826451,-6.74122993248694,-1.97825601454264,1.95306377845031
"emilianaMC4","MC",TRUE,"d",64,108,172,1.86947786280555,-9.84051543146053,-1.58670785092002,-0.133560470523793
"emilianaMC5","MC",TRUE,"d",71,138,209,3.41646110479217,-1.50531447903156,2.0652653793452,2.51700581921221
"emilianaMM1","MM",FALSE,"d",64,180,244,20.0345217317106,0.237704749064438,3.51989879251188,0.038521524211237
"emilianaMM2","MM",FALSE,"d",64,104,168,7.88591663122795,-14.0381363100794,-3.86443650521416,2.71599743585795
"emilianaMM3","MM",FALSE,"d",62,112,174,11.0533658776895,-16.0489301140699,-5.10546581844119,1.85698711597969
"emilianaMM4","MM",FALSE,"d",79,117,196,14.4452719413933,-19.6013336859272,-4.86607993766107,1.53413814917684
"emilianaMM5","MM",FALSE,"d",68,109,177,5.98992029610276,-15.245767095585,-5.92760743010319,1.84973790639016
"emilianaMS1","MS",TRUE,"d",68,178,246,21.1945942483556,9.04591718905657,2.49443754955136,1.1986160568456
"emilianaMS2","MS",TRUE,"d",59,151,210,14.4933942838364,-0.985919325471653,1.32488641054881,-0.264184654806501
"emilianaMS3","MS",TRUE,"d",67,156,223,16.969321729628,-2.82294900701651,1.08738223798725,-1.19321506486145
"emilianaMS4","MS",TRUE,"d",61,156,217,11.0947616721326,5.52899589763691,0.649927156756241,2.92045492251069
"emilianaMS5","MS",TRUE,"d",60,123,183,11.6274543058231,-4.38016740876661,0.196376143595644,3.10424173871659
"emilianoAM1","AM",FALSE,"d",74,163,237,-1.39934141142739,-1.15858721151439,6.57225582976924,-1.40735953933403
"emilianoAM2","AM",FALSE,"d",56,135,191,-3.73199458608036,-2.03358451406236,2.50004658208573,1.31376997717525
"emilianoAM3","AM",FALSE,"d",73,103,176,-8.13058028053706,-6.61033396267929,-5.2261894897113,-1.74553067278296
"emilianoAM4","AM",FALSE,"d",68,136,204,-2.45007606192038,-3.14795923039543,1.58288894772686,-1.74654043672893
"emilianoAM5","AM",FALSE,"d",75,115,190,-6.62284736062853,-4.57420204318467,-4.01101949433121,-3.86797969305983
"emilianobAM1","AM",FALSE,"d",74,134,208,-0.571766652387691,-3.94438904106168,-0.145075852779064,0.177368759012115
"emilianobAM2","AM",FALSE,"d",71,134,205,-3.58200245245772,-4.12782951622268,-1.79631890692278,-2.52191010794303
"emilianobAM3","AM",FALSE,"d",78,118,196,-4.70728150045419,-8.76421103610455,-4.86532080191155,-1.36765025274004
"emilianobAM4","AM",FALSE,"d",62,139,201,-5.77110416978794,-2.07736637882689,-0.0709465658964492,-2.28422003521817
"emilianobAM5","AM",FALSE,"d",67,139,206,-12.1718619914276,-4.76341448919788,-0.258256265490264,-0.839938333220388
"emilianobCP1","CP",FALSE,"d",62,121,183,-4.4864063722793,-5.10412629171501,-4.51833035758028,-2.51156747603355
"emilianobCP2","CP",FALSE,"d",72,128,200,2.4674255740233,-4.4110050108585,-2.87109056489806,-1.71165360279132
"emilianobCP3","CP",FALSE,"d",59,119,178,-7.31867819783339,-3.76611185983002,-1.46528517561136,1.4159709562906
"emilianobCP4","CP",FALSE,"d",67,116,183,-3.90679946580478,-2.1460247774834,-6.3483765411721,-0.95072156405244
"emilianobCP5","CP",FALSE,"d",69,120,189,-3.44567887353479,-1.71612655807417,-3.25192660549175,-0.335455520722893
"emilianobMC1","MC",TRUE,"d",62,117,179,10.3152965272135,-1.11621375230254,-1.90331780240742,1.66450820908434
"emilianobMC2","MC",TRUE,"d",63,100,163,1.86182993631196,-6.03072720793775,-4.72581834063654,0.838231177425346
"emilianobMC3","MC",TRUE,"d",67,99,166,-0.84268257018098,-10.9477544132924,-4.28032403408793,-0.626995934719241
"emilianobMC4","MC",TRUE,"d",73,100,173,10.0031754363937,-6.93859493876174,-3.6047536235313,-0.343073790706315
"emilianobMC5","MC",TRUE,"d",61,102,163,7.00724328937178,-7.72448499018033,-4.01215630488732,-0.452665142226788
"emilianobMM1","MM",FALSE,"d",57,118,175,14.7653780203051,-6.53925533818468,-7.54233616698263,-2.09623598328757
"emilianobMM2","MM",FALSE,"d",55,85,140,12.9546529428943,-13.1266554929127,-5.92947986380614,0.0556437410352908
"emilianobMM3","MM",FALSE,"d",53,116,169,5.20080617076673,-14.83339998669,-5.33275477446334,1.38597778265974
"emilianobMM4","MM",FALSE,"d",69,96,165,0.359637808160154,-17.1449978057089,-6.54082374795848,-0.166921169634047
"emilianobMM5","MM",FALSE,"d",68,99,167,13.8478043204197,-12.6739382831369,-6.75604574628966,-0.835613085892582
"emilianobMS1","MS",TRUE,"d",63,152,215,16.0303156572993,-6.02118920409429,1.49729886498969,-1.5755693755877
"emilianobMS2","MS",TRUE,"d",65,150,215,14.4995264455009,-3.20974844953702,1.21239631306648,-0.44651443992886
"emilianobMS3","MS",TRUE,"d",81,138,219,16.7102956006297,-6.5220262858826,0.967137909196959,-1.22624139054624
"emilianobMS4","MS",TRUE,"d",73,131,204,11.7759639298433,-5.22477342263686,0.333984914825432,-1.34858363924481
"emilianobMS5","MS",TRUE,"d",68,134,202,20.5002484598708,-7.49495599049175,1.69109833857371,-1.61160979783451
"emilianoCP1","CP",FALSE,"d",76,130,206,0.88514750046334,-6.9767757602846,-1.70157052499188,-1.78923337589831
"emilianoCP2","CP",FALSE,"d",62,134,196,-1.2828951083884,-0.811081879775186,-0.416174039528704,-3.38824197885925
"emilianoCP3","CP",FALSE,"d",68,110,178,-2.01765802663692,-4.31782322771218,-5.5096270258604,-2.5590625470274
"emilianoCP4","CP",FALSE,"d",66,111,177,-6.88127337949658,-1.46260985546214,-5.83601968397303,-2.52659788043656
"emilianoCP5","CP",FALSE,"d",65,116,181,-4.15110941088568,-2.41846497769454,-3.81449643138686,-2.38563322417281
"emilianoMC1","MC",TRUE,"d",54,120,174,10.3858490400098,1.33689306431768,-2.45180467157679,0.760814290908788
"emilianoMC2","MC",TRUE,"d",60,117,177,7.50497616538773,-3.50086740803792,-2.74579112695053,0.727003517793483
"emilianoMC3","MC",TRUE,"d",58,113,171,2.4582951420347,-6.4392532026242,-2.43362122601144,-0.798328702820467
"emilianoMC4","MC",TRUE,"d",60,109,169,6.5638001967284,-4.38325147214162,-2.67921626062219,1.30985793031358
"emilianoMC5","MC",TRUE,"d",41,108,149,2.67361246429663,-2.94841421486133,-2.85378266626062,1.10803968101363
"emilianoMM1","MM",FALSE,"d",46,169,215,9.94361229674585,4.60663550535843,2.09756003563997,-2.069482082941
"emilianoMM2","MM",FALSE,"d",61,100,161,6.17053502335496,-8.20115135929329,-4.60356772189814,0.145049437065839
"emilianoMM3","MM",FALSE,"d",58,104,162,2.23331730931255,-8.85108213231798,-5.97920947660634,1.50910134379849
"emilianoMM4","MM",FALSE,"d",57,94,151,4.80128906769514,-9.76167634966506,-6.09899968709228,-0.341604792905847
"emilianoMM5","MM",FALSE,"d",73,74,147,5.83489146806376,-12.7295508852094,-6.0129081940097,1.5696752250176
"emilianoMS1","MS",TRUE,"d",87,173,260,29.2707060458084,-6.80005935829465,2.8418473599397,0.109814793157405
"emilianoMS2","MS",TRUE,"d",69,157,226,22.2155627417588,-3.75503919829454,0.977634291717411,-0.0629343184064771
"emilianoMS3","MS",TRUE,"d",60,124,184,11.5646582581958,-6.79462229373824,0.583511906802559,-0.678858288142718
"emilianoMS4","MS",TRUE,"d",62,145,207,12.8959128221296,3.12926241846294,1.63857560507701,0.724735518300287
"emilianoMS5","MS",TRUE,"d",74,147,221,17.099565399798,-2.00417193175465,1.47363563108866,-1.11476295203208
"lianaAM1","AM",FALSE,"h",78,213,291,-5.02494754268561,4.51577504153732,8.465372607361,-1.24418768297023
"lianaAM2","AM",FALSE,"h",67,208,275,-5.41656356029355,1.90452278189814,9.54090120323366,1.96817286879944
"lianaAM3","AM",FALSE,"h",77,220,297,-6.55437190649951,3.99436602504996,8.68094257234225,-2.77917787726423
"lianaAM4","AM",FALSE,"h",63,208,271,-6.50685154589676,2.10472712780163,7.89696751180035,-1.4602182638837
"lianaAM5","AM",FALSE,"h",66,201,267,-5.9424914998956,2.09346238970433,8.43861439451177,0.799238174628091
"lianabAM1","AM",FALSE,"h",75,218,293,-6.10907337235186,4.01129719420409,7.71886941693844,-0.642002771269846
"lianabAM2","AM",FALSE,"h",59,211,270,-3.33101983549011,2.60107506895903,8.28174033447289,-1.42165436530741
"lianabAM3","AM",FALSE,"h",73,174,247,-4.24261654192407,-1.02274143626872,4.2319039449968,-1.40715349804702
"lianabAM4","AM",FALSE,"h",70,213,283,-5.93767546573133,2.73638206509976,7.6399510576251,3.34503256141978
"lianabAM5","AM",FALSE,"h",72,180,252,-7.10594364481336,-0.478881679909637,6.45295120443935,-2.17109202571027
"lianabCP1","CP",FALSE,"h",63,156,219,-8.79057412099116,12.6482032460724,1.01888129049487,-1.62059141038373
"lianabCP2","CP",FALSE,"h",70,167,237,-8.65758736042405,1.29253954140065,1.76802335111978,-0.192027861992042
"lianabCP3","CP",FALSE,"h",60,166,226,-8.45824307484388,6.87878112002053,-0.868430329309945,-3.1814601882738
"lianabCP4","CP",FALSE,"h",64,150,214,-8.38179449051058,2.82461084536656,-2.0339295314909,-1.2126486732188
"lianabCP5","CP",FALSE,"h",69,181,250,-9.40662943303817,7.11156063557752,2.52244269208858,-1.98606462362369
"lianabMC1","MC",TRUE,"h",60,128,188,4.68885838303485,-3.19694021909427,-3.96871431846734,2.04449772885966
"lianabMC2","MC",TRUE,"h",67,167,234,6.58805185762913,0.338135567559316,2.60276604337998,1.14677561019939
"lianabMC3","MC",TRUE,"h",64,153,217,2.35914166319297,0.887346563332464,3.27785238475796,3.48690093978585
"lianabMC4","MC",TRUE,"h",54,164,218,-7.64995017702149,4.31317950509797,3.55823778704829,5.13780554220097
"lianabMC5","MC",TRUE,"h",53,157,210,-8.29673490172124,2.81491039119943,1.14235688053569,2.95457698555552
"lianabMM1","MM",FALSE,"h",61,186,247,14.489828335336,10.8051720853624,4.06116506119859,2.10239058926521
"lianabMM2","MM",FALSE,"h",66,180,246,16.4058036036445,11.5576275148151,7.91087988402861,1.61512273932081
"lianabMM3","MM",FALSE,"h",57,188,245,13.1675738054925,4.70457015555261,6.88472183765588,3.43738680445432
"lianabMM4","MM",FALSE,"h",65,170,235,21.6775323304728,10.4362353078364,4.66318708971671,3.24246121867603
"lianabMM5","MM",FALSE,"h",71,117,188,16.5022134102612,14.4114269675855,-11.9225088455914,7.52744370375246
"lianabMS1","MS",TRUE,"h",60,228,288,12.476292382597,11.468763805605,5.03159467553354,1.51532844805465
"lianabMS2","MS",TRUE,"h",68,176,244,17.2742680700397,5.63125398165144,1.82817055484171,1.38932741776756
"lianabMS3","MS",TRUE,"h",89,178,267,13.9891529955821,7.29152855077948,1.7176327209513,1.09220425250581
"lianabMS4","MS",TRUE,"h",75,164,239,5.24077760057086,7.48979465453606,2.5132593591601,0.934779047470628
"lianabMS5","MS",TRUE,"h",73,186,259,5.29069729138342,11.105397298256,4.70651982601576,0.3560806899397
"lianacAM1","AM",FALSE,"h",64,190,254,-6.00999122953739,3.89258469535651,6.69793227990627,-0.779852336421134
"lianacAM2","AM",FALSE,"h",79,166,245,-1.65950181333734,-2.4079938804178,3.60417286270758,-0.354425977062753
"lianacAM3","AM",FALSE,"h",74,167,241,-5.42682379472053,-1.46046624354957,3.75090857661262,-0.539915402954749
"lianacAM4","AM",FALSE,"h",59,176,235,-7.54574110926682,0.308350326133302,5.8661025975816,0.558009554373823
"lianacAM5","AM",FALSE,"h",64,188,252,-10.5792662693503,2.55903045950009,5.60737454469933,-1.00646522112807
"lianacCP1","CP",FALSE,"h",62,172,234,-12.7435133152199,7.52545344588863,1.31215446872365,-0.85001652606093
"lianacCP2","CP",FALSE,"h",65,170,235,-9.04377681824055,6.35875404292785,0.806942128610289,-1.76554319954774
"lianacCP3","CP",FALSE,"h",62,175,237,-9.69435995173954,5.91707354474865,1.8034328254466,-0.556040210972664
"lianacCP4","CP",FALSE,"h",69,178,247,-7.71478841145985,7.58454954679125,4.18459875653726,-0.427095239634603
"lianacCP5","CP",FALSE,"h",72,181,253,-9.85380412359735,8.71101861919439,4.18071658332686,0.152774936261079
"lianacMC1","MC",TRUE,"h",54,154,208,-2.7506278513965,7.69529574496194,1.29442110546054,4.18079908966613
"lianacMC2","MC",TRUE,"h",70,174,244,0.201189437644794,2.29495339386212,4.44266612398534,4.11774199755528
"lianacMC3","MC",TRUE,"h",53,173,226,8.55567472650112,14.8733696542222,5.27585222742247,2.42480206852748
"lianacMC4","MC",TRUE,"h",57,151,208,-0.758325078276959,2.12754169314769,3.35279134515208,1.55374138805848
"lianacMC5","MC",TRUE,"h",47,149,196,-5.86941611850403,3.97739545634211,1.05056561510434,2.72289117465051
"lianacMM2","MM",FALSE,"h",66,210,276,18.0030179787265,13.9282441547546,6.9384838642197,3.46984305804356
"lianacMM3","MM",FALSE,"h",68,210,278,17.3894044319063,12.7273664334527,8.32360493023298,3.51500942562119
"lianacMM4","MM",FALSE,"h",63,212,275,9.95867565756786,12.7724094701208,8.01112443765961,2.34377638265851
"lianacMM5","MM",FALSE,"h",70,212,282,13.5125913550116,13.4951762937452,7.80169920443046,5.35397379696563
"lianacMS1","MS",TRUE,"h",74,181,255,12.6005811157285,6.46697791547298,2.71379014708896,1.40580873877563
"lianacMS2","MS",TRUE,"h",60,202,262,11.2589503034115,7.28917696489992,3.75219985284601,-1.69610170973492
"lianacMS3","MS",TRUE,"h",76,191,267,11.3904610669036,7.27208649596907,4.81381513317179,-0.133692843343935
"lianacMS4","MS",TRUE,"h",67,198,265,13.6950828394012,3.59060743069944,2.17504083555672,0.913573688378386
"lianacMS5","MS",TRUE,"h",77,198,275,7.14656413987294,14.4864889881597,4.92998478942263,0.246714170465583
"lianaCP1","CP",FALSE,"h",65,210,275,-7.89800203360734,13.0852900178012,4.54382305310834,-1.42422439812449
"lianaCP2","CP",FALSE,"h",56,211,267,-9.23523394610002,8.41566279051811,4.25802465917663,-3.34166357812135
"lianaCP3","CP",FALSE,"h",76,195,271,-5.81194164639993,8.93006921661515,1.29169550379755,-3.44899250570978
"lianaCP4","CP",FALSE,"h",56,181,237,-12.0120021357642,4.68120765990034,1.38401886711833,-1.60619631460792
"lianaCP5","CP",FALSE,"h",64,180,244,-3.72622039614838,9.58251901477259,1.64222943435402,-0.637309182267614
"lianadAM2","AM",FALSE,"h",67,185,252,-2.742049960372,0.11737682580167,5.0729580426943,-1.51080106432424
"lianadAM3","AM",FALSE,"h",65,185,250,-6.76017408018104,-0.258571447917913,4.37792788070479,-1.09003356795684
"lianadAM4","AM",FALSE,"h",78,180,258,-4.2798020310149,1.30982284974676,4.37152933995216,-0.802974344986488
"lianadAM5","AM",FALSE,"h",64,171,235,-9.24825179507763,-2.8075538330497,3.0219555991313,-2.16128137565659
"lianadCP1","CP",FALSE,"h",62,172,234,-11.7634080869067,6.88744394813642,2.55133831627668,-1.93014228657792
"lianadCP2","CP",FALSE,"h",67,192,259,-9.19144509350908,7.11007232210353,4.9798064062527,1.14754478335473
"lianadCP3","CP",FALSE,"h",67,186,253,-10.2698337049168,5.9151391783434,1.0786414293188,-4.23840945138347
"lianadCP4","CP",FALSE,"h",69,186,255,-7.00409443802591,5.65605070681391,2.77646345775268,-3.11097594880968
"lianadCP5","CP",FALSE,"h",68,182,250,-4.97157929723498,5.54637928706005,2.45664048272279,-1.22960806037928
"lianadMC1","MC",TRUE,"h",48,186,234,6.49138358373128,8.43130330806236,3.63328520243019,0.688218504380141
"lianadMC2","MC",TRUE,"h",53,186,239,-3.26084341313218,5.87234925398417,5.13068402220517,4.51615257461803
"lianadMC3","MC",TRUE,"h",54,163,217,7.99679187787621,5.67004375326725,2.37771958791805,2.65872779121562
"lianadMC4","MC",TRUE,"h",53,156,209,-2.46076922357588,2.50511747993099,2.03749726138081,2.58343406900201
"lianadMC5","MC",TRUE,"h",64,183,247,1.55418475695117,6.65432588324782,4.90013638023519,1.96461568590082
"lianadMM1","MM",FALSE,"h",66,184,250,15.0094294075303,12.7863567112306,5.29981464632344,3.1554231093546
"lianadMM2","MM",FALSE,"h",62,162,224,14.4736115096434,9.48489754299553,3.60909647078525,2.02769111911765
"lianadMM3","MM",FALSE,"h",72,195,267,19.0944486562526,8.85854369724949,6.64457952145517,2.73467523789768
"lianadMM4","MM",FALSE,"h",77,205,282,24.7977570067222,12.0669088631655,8.72394015069902,2.82939085698811
"lianadMM5","MM",FALSE,"h",69,185,254,18.0915807040578,9.43532302340622,4.1242920653699,5.01509179672066
"lianadMS1","MS",TRUE,"h",66,200,266,15.6789246336526,7.90391621665926,3.38467497648256,-1.49606101922605
"lianadMS2","MS",TRUE,"h",54,190,244,6.31637083252204,2.30231077180531,2.28295143035758,-0.146381937750719
